Date,history1,history2,history3,history4
2015-11-17,10102.81396,10565.00818,10887.7626,10878.6161
2015-11-18,10129.07167,10597.49543,10786.67795,10777.2982
2015-11-19,10261.62359,10658.94488,10789.14905,10779.76549
2015-11-20,10183.67686,10740.01316,10639.45204,10630.34184
2015-11-21,10228.66985,10726.78792,10401.65778,10392.5149
2015-11-22,10184.24651,10778.40356,10383.11716,10374.05661
2015-11-23,10354.34632,10831.80705,10458.01945,10448.67855
2015-11-24,10274.03662,10962.45106,10377.37757,10368.09264
2015-11-25,10371.2061,11065.5586,10321.83472,10312.60051
2015-11-26,10277.43731,11080.82102,10398.86151,10389.5623
2015-11-27,10364.55972,11061.86568,10412.07637,10402.88476
2015-11-28,10365.26777,11026.5158,10439.10001,10429.90807
2015-11-29,10643.33583,11070.66575,10575.59725,10565.98976
2015-11-30,10547.85484,11049.8763,10495.41791,10486.05428
2015-12-01,10630.08695,11039.29187,10542.32871,10532.4901
2015-12-02,10714.93071,11064.74783,10496.93624,10486.74495
2015-12-03,10690.55936,11009.30618,10670.87008,10660.81499
2015-12-04,10564.70879,11023.43724,10588.04217,10578.08548
2015-12-05,10592.53015,11032.54119,10688.32954,10678.18324
2015-12-06,10551.07042,11019.33086,10591.70469,10581.57255
2015-12-07,10670.82031,11013.89386,10681.30045,10671.16835
2015-12-08,10668.9474,11013.5336,10681.71664,10671.60866
2015-12-09,10706.44688,11046.76913,10968.27143,10958.17498
2015-12-10,10672.59229,11154.47681,10871.45023,10860.42112
2015-12-11,10532.73489,11299.22409,10955.71749,10944.94107
2015-12-12,10421.69008,11285.89245,11042.80616,11032.05928
2015-12-13,10490.91086,11195.49654,11017.71253,11007.04167
2015-12-14,10511.59634,10978.03418,10890.15406,10878.83189
2015-12-15,10513.27703,11106.33051,10918.78185,10907.50178
2015-12-16,10390.31576,11060.8269,10876.19394,10864.77816
2015-12-17,10501.54084,11160.94287,10999.7008,10988.47636
2015-12-18,10590.58477,11304.28525,10997.66755,10986.43192
2015-12-19,10438.59415,11245.24638,11036.36719,11025.12011
2015-12-20,10560.5053,11223.67185,11001.56417,10990.30279
2015-12-21,10216.92483,11244.33857,10857.94519,10846.59112
2015-12-22,10049.52037,11534.77363,10744.03205,10732.46711
2015-12-23,10259.48199,11647.16058,10815.01805,10803.75029
2015-12-24,10459.53345,11540.57672,10836.52439,10825.15583
2015-12-25,10483.26336,11482.65153,10838.26968,10826.79612
2015-12-26,10492.3128,11581.74295,10712.13561,10700.21872
2015-12-27,10442.43326,11624.75799,10827.10342,10815.26126
2015-12-28,10492.19461,11462.34739,10918.94455,10907.10052
2015-12-29,10524.82614,11510.66902,10761.93769,10751.16098
2015-12-30,10635.43119,11489.19166,10887.27263,10876.34448
2015-12-31,10740.47936,11473.45627,10534.24515,10523.03709
2016-01-01,10749.36243,11533.46428,10362.1116,10350.55967
2016-01-02,10647.9887,11532.23381,10578.00135,10566.0569
2016-01-03,10760.0172,11496.09356,10783.64832,10771.50936
2016-01-04,10754.78674,11600.89114,10808.00837,10795.68609
2016-01-05,10819.58235,11494.16701,10817.18275,10804.89059
2016-01-06,10830.45432,11493.7942,10765.98767,10753.59562
2016-01-07,10908.70115,11484.97549,10818.01721,10805.55153
2016-01-08,10811.73125,11477.17537,10851.38576,10838.99256
2016-01-09,10874.46844,11475.36891,10965.10724,10952.51553
